borrower_id,name,email,phone,book_name
1,Julia Ramos,upena@gmail.com,+1-908-815-8785,None
2,Benjamin Smith,hamiltonevelyn@thompson.org,704-699-8834,None
3,Paul Nguyen,stephenhudson@wilkerson.info,001-788-595-0481,None
4,Erika Anderson,trevormcdonald@benson.net,185.263.8218,Eat to Live
5,Patricia Miller,terriguerra@hotmail.com,036-550-2371,None
6,Cynthia Hawkins,nathanielwilliams@tate-austin.org,(429)113-8739,Lord Of Files
7,Dana Wang,amanda45@gmail.com,802-873-1971,None
8,Melissa Collins,akhan@yahoo.com,+1-706-290-5920,None
9,Casey Adams,audreyclayton@crawford-henderson.com,872-100-6607,The Lord Of Wings 
10,Danielle Nguyen,vargaserin@hernandez.com,-7323,None
11,Adam Cabrera,brandtdana@gmail.com,099.233.9521,None
12,Shannon Coleman,lynnfarmer@chang.info,8311981502,None
13,Alexandra Romero,bromero@yahoo.com,974-092-8911,War and Peace
14,Elizabeth Bowman,rdickson@gmail.com,0357338016,None
15,Kaitlyn Peters,aprillyons@hotmail.com,654.809.6190,None
16,Jean Evans,elizabethsmith@moore.com,7003408918,None
17,Ashley Kelly,zthomas@lee.info,664.593.4942,None
18,Christian Mitchell,sanderskatherine@campbell-brewer.info,(726)965-0067,None
19,Philip Diaz,rachel72@gmail.com,431.357.1289,None
20,Jerome Thompson,laura23@reid.biz,3246058971,None
21,Craig Bell,freemansamuel@gmail.com,+1-813-671-6663,None
22,David Vega,scottjames@gmail.com,6549002511,Steve Jobs
23,Robert Anderson,scott24@yahoo.com,+1-282-394-8455,None
24,Bradley Warner,tiffanyvang@yahoo.com,+1-918-686-1084,None
25,Daniel Avila,bennettaaron@jones.org,8811928210,None
26,Susan Anderson,dbrown@rowland.biz,(666)053-5800,"Guns,Germs,and Steel"
27,Kenneth Weaver,dscott@yahoo.com,833.255.4958,None
28,Sheila Braun,lindseycurtis@mendoza.com,999-148-8896,Thinking with type
29,Cynthia Buckley,qjohnson@hotmail.com,001-775-5063,The Black Swan
30,Shannon Hall,jonathanlucas@taylor.org,(015)210-4186,None
31,Christopher Martinez,davidmartinez@gmail.com,3608148321,None
32,Jennifer Harper,laura56@price-rojas.com,8864309017,A Theory of Justice
33,Chris Green,debrawarren@gmail.com,+1-573-987-1461,None
34,Mike Rowe,greershelby@yahoo.com,739.722.4410,Jamacia Inn
35,Kelsey King,brettedwards@yahoo.com,358-753-4838,None
36,Amanda Mcdonald,lopezstephen@reynolds.com,+1-867-232-1360,None
37,Molly Davis,josephlopez@ortiz-douglas.org,+1-259-234-4677,None
38,Erin Willis,sonya30@griffin.com,595.945.0736,A World lit Only by Fire
39,Kaitlin Knight,meganramirez@perez.com,+1-943-972-7062,My Experiments with Truth
40,Stephanie Turner,sholmes@hotmail.com,(943)469-2824,A Tale of Two Cities
41,Kristin Wright,peterperez@hotmail.com,+1-073-479-7203,None
42,James Gonzalez,clarkrobert@hotmail.com,001-067-629-0027,Freakonomics
43,Carlos Williams,valenciajeremy@wheeler.com,001-426-845-1829,None
44,Andrew Fernandez,penamichael@hotmail.com,944.416.3266,Loara Dune
45,Stephanie Butler,petersonanita@barker.com,001-263-771-4071,Discovery of India
46,Christian Clay,trevorrusso@gmail.com,(071)285-1888,None
47,Christina Sims,cherylrodriguez@gmail.com,(367)775-1772,None
48,Samantha Richards,anthonyadams@harrell-neal.com,546.822.0316,The Photographer's
49,Gregory Doyle,tallen@goodwin-kim.com,001-899-143-5541,None
50,Kristen Moore,ruth40@gmail.com,634.125.3241,Think and Grow
51,Albert West,jasonmolina@gonzalez.com,522-941-9959,Object Oriented Programming with C++
52,Connie Thompson,hamiltonmarcia@gmail.com,284-380-6299,None
53,Brent White,wallschristy@mcdaniel.com,(328)393-1623x65579,None
54,Aaron Taylor,ygriffith@ellis.com,001-703-909-5539,None
55,Dorothy Thomas,megannixon@white-collins.org,+1-197-203-2695,A Brief History Of Time
56,Jennifer Nash MD,whitechristopher@hotmail.com,813.093.3538,The Fifth Discipline : The Art
57,Angela Carroll,nelsonerin@parker.org,001-990-532-9949,None
58,Kimberly Davis,waltonsamantha@yahoo.com,212.610.2965,None
59,Morgan Brown,alexisstanley@olson.com,558.255.2794,None
60,Mark Deleon,asmith@houston-patterson.org,(955)917-1843,The Republic
